"set","position","name","bleed","curse","fire","lightning","magic","physical","poise","poison","weight","weight_modifier","health_modifier","stamina_modifier","stamina_regeneration"
"Naked","Head","Naked Head",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Naked","Torso","Naked Torso",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Naked","Arms","Naked Arms",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Naked","Legs","Naked Legs",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Warrior","Head","Standard Helm",9.0,0.0,8.0,3.0,8.0,14.0,5.0,8.0,3.5,0.0,0.0,0.0,0.0
"Warrior","Torso","Hard Leather Armor",23.0,0.0,27.0,23.0,20.0,28.0,0.0,20.0,5.9,0.0,0.0,0.0,0.0
"Warrior","Arms","Hard Leather Gauntlets",14.0,0.0,16.0,13.0,12.0,17.0,0.0,12.0,3.5,0.0,0.0,0.0,0.0
"Warrior","Legs","Hard Leather Boots",14.0,0.0,16.0,13.0,12.0,17.0,0.0,12.0,3.5,0.0,0.0,0.0,0.0
"Knight","Head","Knight Helm",9.0,0.0,9.0,5.0,8.0,14.0,8.0,6.0,4.2,0.0,0.0,0.0,0.0
"Knight","Torso","Knight Armor",23.0,0.0,25.0,13.0,22.0,37.0,20.0,16.0,10.9,0.0,0.0,0.0,0.0
"Knight","Arms","Knight Gauntlets",8.0,0.0,8.0,4.0,7.0,12.0,6.0,5.0,3.5,0.0,0.0,0.0,0.0
"Knight","Legs","Knight Leggings",14.0,0.0,14.0,8.0,13.0,22.0,12.0,9.0,6.4,0.0,0.0,0.0,0.0
"Wanderer","Head","Wanderer Hood",8.0,0.0,10.0,9.0,8.0,9.0,0.0,8.0,1.4,0.0,0.0,0.0,0.0
"Wanderer","Torso","Wanderer Coat",21.0,0.0,26.0,23.0,21.0,23.0,0.0,21.0,3.5,0.0,0.0,0.0,0.0
"Wanderer","Arms","Wanderer Manchette",13.0,0.0,15.0,13.0,12.0,14.0,0.0,13.0,2.1,0.0,0.0,0.0,0.0
"Wanderer","Legs","Wanderer Boots",13.0,0.0,15.0,13.0,12.0,14.0,0.0,13.0,2.1,0.0,0.0,0.0,0.0
"Thief","Head","Thief Mask",9.0,0.0,5.0,6.0,8.0,9.0,0.0,12.0,1.2,0.0,0.0,0.0,0.0
"Thief","Torso","Black Leather Armor",23.0,0.0,14.0,16.0,20.0,23.0,0.0,31.0,3.1,0.0,0.0,0.0,0.0
"Thief","Arms","Black Leather Gloves",14.0,0.0,8.0,9.0,12.0,13.0,0.0,18.0,1.8,0.0,0.0,0.0,0.0
"Thief","Legs","Black Leather Boots",23.0,0.0,13.0,15.0,19.0,22.0,0.0,31.0,3.0,0.0,0.0,0.0,0.0
