"set","name","position","poise","weight","physical","magic","fire","lightning","bleed","poison","curse","url1","location"
"Naked","Naked Head",1,0,0,0,0,0,0,0,0,0,,
"Naked","Naked Torso",2,0,0,0,0,0,0,0,0,0,,
"Naked","Naked Arms",3,0,0,0,0,0,0,0,0,0,,
"Naked","Naked Legs",4,0,0,0,0,0,0,0,0,0,,
"Warrior Set","Standard Helm",1,5,3.5,14,8,8,3,9,8,0,"http://darksoulswiki.wikispaces.com/Warrior+Set","http://darksoulswiki.wikispaces.com/Depths"
"Warrior Set","Hard Leather Armor",2,0,5.9,28,20,27,23,23,20,0,"http://darksoulswiki.wikispaces.com/Warrior+Set","http://darksoulswiki.wikispaces.com/Depths"
"Warrior Set","Hard Leather Gauntlets",3,0,3.5,17,12,16,13,14,12,0,"http://darksoulswiki.wikispaces.com/Warrior+Set","http://darksoulswiki.wikispaces.com/Depths"
"Warrior Set","Hard Leather Boots",4,0,3.5,17,12,16,13,14,12,0,"http://darksoulswiki.wikispaces.com/Warrior+Set","http://darksoulswiki.wikispaces.com/Depths"
"Knight Set","Knight Helm",1,8,4.2,14,8,9,5,9,6,0,"http://darksoulswiki.wikispaces.com/Knight+Set","http://darksoulswiki.wikispaces.com/Darkroot+Basin"
"Knight Set","Knight Armor",2,20,10.9,37,22,25,13,23,16,0,"http://darksoulswiki.wikispaces.com/Knight+Set","http://darksoulswiki.wikispaces.com/Darkroot+Basin"
"Knight Set","Knight Gauntlets",3,6,3.5,12,7,8,4,8,5,0,"http://darksoulswiki.wikispaces.com/Knight+Set","http://darksoulswiki.wikispaces.com/Darkroot+Basin"
"Knight Set","Knight Leggings",4,12,6.4,22,13,14,8,14,9,0,"http://darksoulswiki.wikispaces.com/Knight+Set","http://darksoulswiki.wikispaces.com/Darkroot+Basin"
"Wanderer Set","Wanderer Hood",1,0,1.4,9,8,10,9,8,8,0,"http://darksoulswiki.wikispaces.com/Wanderer+Set","http://darksoulswiki.wikispaces.com/Blighttown"
"Wanderer Set","Wanderer Coat",2,0,3.5,23,21,26,23,21,21,0,"http://darksoulswiki.wikispaces.com/Wanderer+Set","http://darksoulswiki.wikispaces.com/Blighttown"
"Wanderer Set","Wanderer Manchette",3,0,2.1,14,12,15,13,13,13,0,"http://darksoulswiki.wikispaces.com/Wanderer+Set","http://darksoulswiki.wikispaces.com/Blighttown"
"Wanderer Set","Wanderer Boots",4,0,2.1,14,12,15,13,13,13,0,"http://darksoulswiki.wikispaces.com/Wanderer+Set","http://darksoulswiki.wikispaces.com/Blighttown"
"Thief Set","Thief Mask",1,0,1.2,9,8,5,6,9,12,0,"http://darksoulswiki.wikispaces.com/Thief+Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
"Thief Set","Black Leather Armor",2,0,3.1,23,20,14,16,23,31,0,"http://darksoulswiki.wikispaces.com/Thief+Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
"Thief Set","Black Leather Gloves",3,0,1.8,13,12,8,9,14,18,0,"http://darksoulswiki.wikispaces.com/Thief+Set","http://darksoulswiki.wikispaces.com/Undead+Burg"
